Epoch     train_loss     test_loss      precision      recall         f1_score       accracy        
0         8.526          2.074          nan            0.142          nan            13.932         
1         2.183          2.085          nan            0.125          nan            12.240         
2         1.862          1.606          nan            0.261          nan            25.521         
3         1.637          1.638          nan            0.234          nan            22.917         
4         1.549          1.466          nan            0.253          nan            24.740         
5         1.828          1.556          nan            0.263          nan            25.781         
6         1.502          1.480          nan            0.279          nan            27.344         
7         1.488          1.436          nan            0.270          nan            26.432         
8         1.767          1.720          nan            0.257          nan            25.130         
9         2.125          1.768          nan            0.188          nan            18.359         
10        2.633          2.102          nan            0.215          nan            21.094         
11        1.817          1.548          nan            0.266          nan            26.042         
12        1.578          1.444          nan            0.281          nan            27.474         
13        1.475          1.411          nan            0.271          nan            26.562         
14        1.460          1.425          nan            0.263          nan            25.781         
15        1.470          1.555          nan            0.278          nan            27.214         
16        1.435          1.406          nan            0.253          nan            24.740         
17        1.508          1.534          0.253          0.258          nan            25.260         
18        1.487          1.417          nan            0.259          nan            25.391         
19        1.435          1.397          nan            0.259          nan            25.391         
20        1.446          1.722          nan            0.259          nan            25.391         
21        1.471          1.402          0.408          0.303          0.237          29.688         
22        1.419          1.396          0.327          0.328          0.264          32.161         
23        1.391          1.273          0.329          0.368          nan            36.068         
24        1.241          1.066          0.459          0.422          0.369          41.276         
25        1.110          1.030          0.511          0.485          0.424          47.526         
26        1.046          1.060          0.540          0.464          0.426          45.443         
27        0.940          0.900          nan            0.476          nan            46.615         
28        0.956          1.421          0.434          0.404          0.391          39.583         
29        1.126          0.873          0.505          0.503          0.454          49.219         
30        0.918          0.872          0.458          0.483          0.432          47.266         
31        0.827          0.779          0.530          0.528          0.501          51.693         
32        0.811          0.802          0.528          0.527          0.524          51.562         
33        0.788          0.722          0.588          0.581          0.564          56.901         
34        0.792          0.750          0.556          0.549          0.536          53.776         
35        0.770          0.727          0.551          0.548          0.536          53.646         
36        0.756          0.795          0.547          0.533          0.462          52.214         
37        0.778          0.746          0.515          0.559          nan            54.688         
38        0.767          0.753          0.575          0.559          0.536          54.688         
39        0.765          0.720          0.616          0.608          0.601          59.505         
40        0.779          0.749          0.558          0.553          0.534          54.167         
41        0.794          0.693          0.646          0.638          0.633          62.500         
42        0.749          0.708          0.615          0.598          0.584          58.594         
43        0.721          0.704          0.619          0.590          0.556          57.812         
44        0.730          0.694          0.555          0.584          0.551          57.161         
45        0.703          0.715          0.645          0.597          0.545          58.464         
46        0.714          0.695          0.612          0.612          0.611          59.896         
47        0.707          0.684          0.635          0.616          0.597          60.286         
48        0.676          0.698          0.634          0.601          0.571          58.854         
49        0.718          0.662          0.646          0.632          0.625          61.849         
50        0.672          0.709          0.642          0.616          0.596          60.286         
51        0.727          0.666          0.608          0.590          0.550          57.812         
52        0.680          0.653          0.648          0.621          0.600          60.807         
53        0.673          0.675          0.637          0.629          0.614          61.589         
54        0.656          0.614          0.665          0.658          0.656          64.453         
55        0.639          0.675          0.649          0.626          0.616          61.328         
56        0.638          0.648          0.670          0.648          0.638          63.411         
57        0.677          0.706          0.691          0.617          0.569          60.417         
58        0.691          0.627          0.671          0.668          0.661          65.365         
59        0.636          0.653          0.645          0.625          0.601          61.198         
60        0.624          0.588          0.661          0.678          0.638          66.406         
61        0.613          0.614          0.656          0.670          0.633          65.625         
62        0.717          0.673          0.635          0.633          0.602          61.979         
63        0.665          0.600          0.693          0.685          0.684          67.057         
64        0.628          0.611          0.674          0.657          0.651          64.323         
65        0.625          0.613          0.697          0.693          0.692          67.839         
66        0.628          0.585          0.717          0.693          0.656          67.839         
67        0.592          0.602          0.717          0.689          0.662          67.448         
68        0.612          0.630          0.699          0.685          0.680          67.057         
69        0.614          0.587          0.706          0.697          0.695          68.229         
70        0.705          0.733          0.671          0.602          0.570          58.984         
71        0.617          0.568          0.726          0.713          0.708          69.792         
72        0.620          0.624          0.711          0.693          0.672          67.839         
73        0.622          0.599          0.700          0.695          0.692          68.099         
74        0.744          0.699          0.688          0.645          0.607          63.151         
75        0.680          0.615          0.675          0.670          0.667          65.625         
76        0.580          0.597          0.698          0.691          0.687          67.708         
77        0.586          0.640          0.698          0.677          0.661          66.276         
78        0.611          0.597          0.706          0.691          0.685          67.708         
79        0.538          0.568          0.716          0.707          0.706          69.271         
80        0.614          0.579          0.716          0.705          0.702          69.010         
81        0.567          0.610          0.733          0.691          0.666          67.708         
82        0.566          0.523          0.719          0.707          0.701          69.271         
83        0.520          0.499          0.756          0.738          0.718          72.266         
84        0.535          0.543          0.739          0.731          0.721          71.615         
85        0.555          0.579          0.727          0.702          0.695          68.750         
86        0.561          0.536          0.726          0.719          0.716          70.443         
87        0.518          0.489          0.755          0.749          0.743          73.307         
88        0.493          0.527          0.740          0.731          0.729          71.615         
89        0.514          0.462          0.784          0.763          0.749          74.740         
90        0.514          0.521          0.751          0.742          0.739          72.656         
91        0.558          0.508          0.752          0.743          0.741          72.786         
92        0.589          0.544          0.768          0.707          0.674          69.271         
93        0.514          0.488          0.760          0.749          0.743          73.307         
94        0.511          0.578          0.768          0.726          0.700          71.094         
95        0.547          0.529          0.757          0.737          0.725          72.135         
96        0.492          0.508          0.762          0.741          0.735          72.526         
97        0.466          0.565          0.737          0.731          0.728          71.615         
98        0.495          0.553          0.760          0.730          0.721          71.484         
99        0.504          0.532          0.754          0.741          0.738          72.526         
