Epoch     train_loss     test_loss      precision      recall         f1_score       accracy        
0         2.152          1.518          nan            0.259          nan            25.391         
1         1.468          1.370          nan            0.330          nan            32.292         
2         1.312          0.907          nan            0.472          nan            46.224         
3         0.931          1.210          nan            0.451          nan            44.141         
4         0.872          0.797          nan            0.495          nan            48.438         
5         0.809          0.805          nan            0.524          nan            51.302         
6         0.805          0.790          nan            0.528          nan            51.693         
7         0.782          0.760          nan            0.547          nan            53.516         
8         0.762          0.790          nan            0.529          nan            51.823         
9         0.828          0.841          nan            0.533          nan            52.214         
10        0.788          0.762          0.525          0.539          0.481          52.734         
11        0.784          0.775          nan            0.539          nan            52.734         
12        0.777          0.741          0.625          0.559          0.516          54.688         
13        0.753          0.763          nan            0.536          nan            52.474         
14        0.725          0.719          nan            0.573          nan            56.120         
15        0.733          0.783          0.613          0.565          0.513          55.339         
16        0.710          0.685          nan            0.602          nan            58.984         
17        0.728          0.729          0.638          0.572          0.530          55.990         
18        0.725          0.718          0.693          0.613          0.564          60.026         
19        0.713          0.676          nan            0.622          nan            60.938         
20        0.683          0.645          0.665          0.645          0.624          63.151         
21        0.693          0.651          0.677          0.669          0.661          65.495         
22        0.675          0.678          nan            0.634          nan            62.109         
23        0.661          0.614          0.728          0.657          0.612          64.323         
24        0.659          0.652          0.674          0.668          0.631          65.365         
25        0.667          0.636          0.695          0.688          0.681          67.318         
26        0.614          0.631          0.677          0.662          0.657          64.844         
27        0.592          0.565          nan            0.690          nan            67.578         
28        0.625          0.580          0.688          0.680          0.642          66.536         
29        0.573          0.578          0.634          0.680          nan            66.536         
30        0.536          0.548          0.737          0.723          0.720          70.833         
31        0.565          0.517          0.733          0.726          0.714          71.094         
32        0.584          0.570          0.654          0.715          nan            70.052         
33        0.578          0.590          0.691          0.676          0.631          66.146         
34        0.523          0.551          0.726          0.711          0.703          69.661         
35        0.527          0.549          0.742          0.719          0.693          70.443         
36        0.562          0.673          0.687          0.674          0.657          66.016         
37        0.594          0.564          nan            0.684          nan            66.927         
38        0.524          0.590          0.740          0.735          0.734          72.005         
39        0.550          0.526          0.741          0.733          0.723          71.745         
40        0.504          0.473          0.746          0.743          0.712          72.786         
41        0.475          0.451          0.765          0.761          0.759          74.479         
42        0.496          0.530          0.721          0.711          0.677          69.661         
43        0.539          0.550          0.729          0.701          0.685          68.620         
44        0.494          0.488          0.770          0.766          0.757          75.000         
45        0.481          0.460          0.763          0.759          0.759          74.349         
46        0.469          0.547          0.765          0.754          0.754          73.828         
47        0.462          0.569          0.767          0.735          0.729          72.005         
48        0.461          0.499          0.764          0.757          0.756          74.089         
49        0.456          0.451          0.779          0.778          0.778          76.172         
50        0.448          0.552          0.782          0.769          0.767          75.260         
51        0.453          0.473          0.796          0.783          0.782          76.693         
52        0.445          0.613          0.773          0.731          0.712          71.615         
53        0.448          0.505          0.817          0.805          0.803          78.776         
54        0.459          0.598          0.784          0.753          0.744          73.698         
55        0.435          0.446          0.806          0.806          0.806          78.906         
56        0.421          0.552          0.784          0.778          0.776          76.172         
57        0.560          0.539          0.763          0.741          0.728          72.526         
58        0.549          0.510          0.768          0.751          0.745          73.568         
59        0.467          0.439          0.783          0.777          0.776          76.042         
60        0.390          0.415          0.837          0.820          0.819          80.339         
61        0.439          0.420          0.790          0.789          0.788          77.214         
62        0.415          0.482          0.809          0.802          0.800          78.516         
63        0.403          0.409          0.826          0.823          0.823          80.599         
64        0.384          0.430          0.811          0.793          0.789          77.604         
65        0.372          0.422          0.832          0.826          0.825          80.859         
66        0.355          0.451          0.810          0.798          0.794          78.125         
67        0.337          0.354          0.882          0.879          0.879          86.068         
68        0.363          0.468          0.849          0.830          0.827          81.250         
69        0.340          0.367          0.837          0.835          0.835          81.771         
70        0.331          0.371          0.872          0.867          0.867          84.896         
71        0.363          0.444          0.839          0.816          0.813          79.948         
72        0.360          0.417          0.832          0.814          0.811          79.688         
73        0.367          0.427          0.858          0.843          0.840          82.552         
74        0.339          0.351          0.845          0.844          0.844          82.682         
75        0.338          0.357          0.850          0.839          0.837          82.161         
76        0.307          0.341          0.878          0.868          0.868          85.026         
77        0.341          0.321          0.884          0.883          0.883          86.458         
78        0.336          0.423          0.854          0.843          0.842          82.552         
79        0.318          0.411          0.861          0.836          0.833          81.901         
80        0.318          0.404          0.869          0.859          0.859          84.115         
81        0.299          0.306          0.879          0.872          0.872          85.417         
82        0.301          0.321          0.893          0.887          0.886          86.849         
83        0.285          0.311          0.889          0.886          0.885          86.719         
84        0.254          0.237          0.920          0.918          0.917          89.844         
85        0.298          0.331          0.888          0.880          0.880          86.198         
86        0.255          0.366          0.902          0.895          0.895          87.630         
87        0.272          0.345          0.877          0.868          0.868          85.026         
88        0.268          0.312          0.887          0.876          0.875          85.807         
89        0.274          0.277          0.896          0.888          0.888          86.979         
90        0.261          0.366          0.875          0.862          0.860          84.375         
91        0.291          0.329          0.889          0.880          0.880          86.198         
92        0.239          0.309          0.906          0.898          0.896          87.891         
93        0.254          0.346          0.888          0.883          0.883          86.458         
94        0.300          0.482          0.854          0.820          0.815          80.339         
95        0.334          0.390          0.843          0.838          0.837          82.031         
96        0.301          0.312          0.908          0.902          0.901          88.281         
97        0.323          0.382          0.857          0.852          0.852          83.464         
98        0.297          0.343          0.886          0.883          0.883          86.458         
99        0.263          0.331          0.886          0.870          0.868          85.156         
