Epoch     train_loss     test_loss      precision      recall         f1_score       accracy        
0         0.922          0.953          0.614          0.593          0.562          58.073         
1         0.717          0.644          0.680          0.653          0.641          63.932         
2         0.643          0.539          0.755          0.743          0.741          72.786         
3         0.585          0.528          0.784          0.771          0.769          75.521         
4         0.475          0.558          0.794          0.754          0.745          73.828         
5         0.405          0.465          0.809          0.797          0.793          77.995         
6         0.393          0.343          0.854          0.850          0.850          83.203         
7         0.405          0.400          0.851          0.840          0.839          82.292         
8         0.341          0.316          0.879          0.876          0.876          85.807         
9         0.350          0.320          0.875          0.868          0.868          85.026         
10        0.294          0.301          0.906          0.898          0.897          87.891         
11        0.289          0.336          0.868          0.844          0.841          82.682         
12        0.234          0.288          0.904          0.899          0.899          88.021         
13        0.258          0.317          0.889          0.884          0.884          86.589         
14        0.251          0.242          0.919          0.915          0.915          89.583         
15        0.247          0.227          0.924          0.922          0.921          90.234         
16        0.210          0.326          0.885          0.870          0.868          85.156         
17        0.231          0.214          0.918          0.914          0.913          89.453         
18        0.246          0.203          0.920          0.919          0.919          89.974         
19        0.191          0.204          0.930          0.927          0.927          90.755         
20        0.170          0.194          0.928          0.926          0.925          90.625         
21        0.181          0.213          0.922          0.920          0.920          90.104         
22        0.175          0.271          0.920          0.914          0.913          89.453         
23        0.187          0.166          0.949          0.947          0.947          92.708         
24        0.173          0.381          0.893          0.874          0.872          85.547         
25        0.158          0.199          0.939          0.936          0.936          91.667         
26        0.191          0.137          0.954          0.952          0.952          93.229         
27        0.154          0.161          0.937          0.936          0.936          91.667         
28        0.140          0.175          0.936          0.935          0.935          91.536         
29        0.124          0.228          0.938          0.934          0.933          91.406         
30        0.138          0.229          0.927          0.919          0.919          89.974         
31        0.184          0.253          0.927          0.922          0.921          90.234         
32        0.168          0.192          0.939          0.932          0.932          91.276         
33        0.115          0.272          0.926          0.912          0.911          89.323         
34        0.139          0.300          0.903          0.886          0.884          86.719         
35        0.179          0.210          0.926          0.926          0.925          90.625         
36        0.104          0.130          0.950          0.949          0.949          92.969         
37        0.139          0.158          0.940          0.935          0.935          91.536         
38        0.120          0.132          0.951          0.947          0.947          92.708         
39        0.130          0.192          0.941          0.938          0.937          91.797         
40        0.137          0.157          0.948          0.947          0.947          92.708         
41        0.135          0.187          0.926          0.920          0.920          90.104         
42        0.118          0.132          0.951          0.951          0.951          93.099         
43        0.115          0.157          0.943          0.940          0.940          92.057         
44        0.102          0.103          0.959          0.959          0.959          93.880         
45        0.095          0.128          0.953          0.951          0.951          93.099         
46        0.101          0.162          0.944          0.938          0.937          91.797         
47        0.106          0.135          0.952          0.949          0.949          92.969         
48        0.095          0.144          0.954          0.953          0.953          93.359         
49        0.125          0.189          0.937          0.934          0.933          91.406         
50        0.112          0.146          0.959          0.955          0.955          93.490         
51        0.109          0.111          0.965          0.964          0.964          94.401         
52        0.087          0.177          0.946          0.943          0.943          92.318         
53        0.078          0.132          0.950          0.947          0.947          92.708         
54        0.089          0.115          0.972          0.971          0.971          95.052         
55        0.139          0.153          0.950          0.948          0.948          92.839         
56        0.101          0.219          0.941          0.939          0.939          91.927         
57        0.091          0.159          0.964          0.964          0.964          94.401         
58        0.083          0.110          0.966          0.965          0.965          94.531         
59        0.098          0.152          0.955          0.953          0.953          93.359         
60        0.107          0.107          0.961          0.960          0.960          94.010         
61        0.062          0.131          0.971          0.969          0.969          94.922         
62        0.121          0.113          0.969          0.968          0.968          94.792         
63        0.095          0.088          0.966          0.964          0.964          94.401         
64        0.062          0.085          0.975          0.975          0.975          95.443         
65        0.094          0.119          0.957          0.956          0.956          93.620         
66        0.078          0.099          0.964          0.963          0.963          94.271         
67        0.077          0.190          0.948          0.945          0.945          92.578         
68        0.065          0.136          0.961          0.959          0.959          93.880         
69        0.073          0.088          0.970          0.969          0.969          94.922         
70        0.056          0.126          0.973          0.971          0.971          95.052         
71        0.156          0.160          0.952          0.949          0.949          92.969         
72        0.108          0.122          0.963          0.961          0.961          94.141         
73        0.092          0.164          0.957          0.955          0.955          93.490         
74        0.095          0.157          0.961          0.959          0.959          93.880         
75        0.122          0.333          0.936          0.931          0.931          91.146         
76        0.083          0.083          0.978          0.977          0.977          95.703         
77        0.063          0.181          0.960          0.957          0.957          93.750         
78        0.079          0.107          0.968          0.967          0.967          94.661         
79        0.065          0.113          0.975          0.975          0.975          95.443         
80        0.076          0.125          0.951          0.951          0.951          93.099         
81        0.068          0.125          0.958          0.957          0.957          93.750         
82        0.081          0.137          0.960          0.957          0.957          93.750         
83        0.088          0.053          0.978          0.977          0.977          95.703         
84        0.060          0.073          0.968          0.968          0.968          94.792         
85        0.072          0.226          0.938          0.934          0.933          91.406         
86        0.086          0.089          0.969          0.968          0.968          94.792         
87        0.096          0.154          0.966          0.964          0.964          94.401         
88        0.081          0.079          0.973          0.972          0.972          95.182         
89        0.073          0.189          0.942          0.928          0.926          90.885         
90        0.076          0.119          0.965          0.963          0.963          94.271         
91        0.059          0.083          0.971          0.971          0.971          95.052         
92        0.051          0.103          0.970          0.968          0.968          94.792         
93        0.057          0.163          0.954          0.947          0.947          92.708         
94        0.097          0.080          0.965          0.964          0.964          94.401         
95        0.056          0.075          0.972          0.971          0.971          95.052         
96        0.061          0.093          0.970          0.969          0.969          94.922         
97        0.065          0.084          0.970          0.969          0.969          94.922         
98        0.071          0.142          0.969          0.968          0.968          94.792         
99        0.072          0.173          0.957          0.956          0.956          93.620         
