Epoch     train_loss     test_loss      precision      recall         f1_score       accracy        
0         0.944          0.755          0.636          0.609          0.582          59.635         
1         0.712          0.704          0.718          0.674          0.656          66.016         
2         0.617          0.571          0.741          0.722          0.714          70.703         
3         0.535          0.472          0.828          0.799          0.789          78.255         
4         0.488          0.545          0.807          0.802          0.801          78.516         
5         0.471          0.438          0.828          0.805          0.800          78.776         
6         0.408          0.381          0.851          0.846          0.845          82.812         
7         0.406          0.436          0.817          0.810          0.809          79.297         
8         0.384          0.411          0.830          0.806          0.802          78.906         
9         0.341          0.298          0.886          0.872          0.871          85.417         
10        0.290          0.311          0.890          0.878          0.876          85.938         
11        0.286          0.376          0.849          0.835          0.833          81.771         
12        0.294          0.341          0.895          0.886          0.886          86.719         
13        0.288          0.321          0.905          0.894          0.892          87.500         
14        0.274          0.232          0.908          0.907          0.907          88.802         
15        0.236          0.324          0.896          0.894          0.893          87.500         
16        0.240          0.252          0.905          0.902          0.901          88.281         
17        0.224          0.224          0.920          0.915          0.915          89.583         
18        0.193          0.300          0.886          0.880          0.879          86.198         
19        0.248          0.233          0.918          0.915          0.915          89.583         
20        0.179          0.248          0.913          0.910          0.909          89.062         
21        0.182          0.305          0.907          0.903          0.902          88.411         
22        0.209          0.257          0.908          0.902          0.901          88.281         
23        0.160          0.176          0.935          0.932          0.932          91.276         
24        0.169          0.229          0.933          0.928          0.928          90.885         
25        0.166          0.284          0.911          0.908          0.908          88.932         
26        0.201          0.258          0.891          0.888          0.888          86.979         
27        0.158          0.412          0.928          0.918          0.917          89.844         
28        0.184          0.220          0.917          0.915          0.915          89.583         
29        0.168          0.156          0.940          0.938          0.937          91.797         
30        0.146          0.237          0.921          0.919          0.919          89.974         
31        0.150          0.189          0.929          0.928          0.928          90.885         
32        0.127          0.182          0.937          0.932          0.932          91.276         
33        0.127          0.137          0.956          0.955          0.955          93.490         
34        0.133          0.244          0.916          0.910          0.909          89.062         
35        0.179          0.173          0.938          0.936          0.936          91.667         
36        0.124          0.162          0.943          0.941          0.941          92.188         
37        0.103          0.153          0.950          0.948          0.948          92.839         
38        0.131          0.293          0.928          0.919          0.918          89.974         
39        0.119          0.136          0.951          0.949          0.949          92.969         
40        0.119          0.123          0.957          0.956          0.956          93.620         
41        0.123          0.149          0.939          0.938          0.937          91.797         
42        0.110          0.136          0.951          0.949          0.949          92.969         
43        0.086          0.103          0.968          0.967          0.967          94.661         
44        0.110          0.242          0.943          0.940          0.940          92.057         
45        0.079          0.122          0.964          0.963          0.963          94.271         
46        0.103          0.107          0.964          0.964          0.964          94.401         
47        0.108          0.118          0.951          0.949          0.950          92.969         
48        0.103          0.258          0.925          0.915          0.914          89.583         
49        0.116          0.124          0.966          0.965          0.965          94.531         
50        0.089          0.146          0.949          0.948          0.948          92.839         
51        0.095          0.152          0.964          0.963          0.963          94.271         
52        0.125          0.116          0.956          0.956          0.956          93.620         
53        0.090          0.123          0.958          0.956          0.956          93.620         
54        0.089          0.081          0.967          0.967          0.967          94.661         
55        0.098          0.131          0.965          0.964          0.964          94.401         
56        0.075          0.147          0.965          0.964          0.964          94.401         
57        0.101          0.134          0.961          0.959          0.959          93.880         
58        0.086          0.079          0.976          0.976          0.976          95.573         
59        0.132          0.217          0.935          0.930          0.929          91.016         
60        0.106          0.111          0.966          0.965          0.965          94.531         
61        0.064          0.130          0.966          0.965          0.965          94.531         
62        0.081          0.105          0.965          0.963          0.963          94.271         
63        0.165          0.221          0.928          0.920          0.921          90.104         
64        0.105          0.185          0.951          0.949          0.949          92.969         
65        0.121          0.168          0.963          0.963          0.963          94.271         
66        0.098          0.117          0.957          0.955          0.955          93.490         
67        0.071          0.127          0.956          0.953          0.953          93.359         
68        0.094          0.134          0.958          0.956          0.956          93.620         
69        0.081          0.091          0.972          0.971          0.971          95.052         
70        0.048          0.114          0.969          0.968          0.968          94.792         
71        0.087          0.118          0.957          0.956          0.956          93.620         
72        0.084          0.117          0.960          0.959          0.959          93.880         
73        0.058          0.151          0.963          0.960          0.960          94.010         
74        0.077          0.259          0.949          0.945          0.946          92.578         
75        0.097          0.108          0.959          0.959          0.959          93.880         
76        0.063          0.107          0.976          0.975          0.975          95.443         
77        0.079          0.186          0.939          0.934          0.933          91.406         
78        0.052          0.126          0.968          0.967          0.967          94.661         
79        0.083          0.182          0.946          0.941          0.941          92.188         
80        0.093          0.053          0.981          0.981          0.981          96.094         
81        0.130          0.129          0.951          0.949          0.949          92.969         
82        0.080          0.174          0.947          0.944          0.944          92.448         
83        0.120          0.121          0.957          0.953          0.953          93.359         
84        0.074          0.155          0.959          0.957          0.957          93.750         
85        0.058          0.105          0.971          0.971          0.971          95.052         
86        0.087          0.196          0.945          0.940          0.940          92.057         
87        0.090          0.073          0.972          0.972          0.972          95.182         
88        0.064          0.100          0.973          0.972          0.972          95.182         
89        0.052          0.100          0.973          0.972          0.972          95.182         
90        0.073          0.144          0.968          0.967          0.967          94.661         
91        0.071          0.149          0.952          0.951          0.951          93.099         
92        0.079          0.081          0.972          0.972          0.972          95.182         
93        0.055          0.098          0.964          0.963          0.963          94.271         
94        0.047          0.098          0.969          0.968          0.968          94.792         
95        0.061          0.061          0.976          0.976          0.976          95.573         
96        0.059          0.120          0.962          0.961          0.961          94.141         
97        0.058          0.090          0.984          0.984          0.984          96.354         
98        0.057          0.097          0.966          0.965          0.965          94.531         
99        0.057          0.134          0.959          0.956          0.956          93.620         
